"package","D.Obs","P0","P1"
"libavresample",1.33590390996281,0.0175,0.78
"libav.tools",0.736771789444738,0.24,0.3475
"libavutil",1.58896901800228,0,0.98
"libbind",1.07177385899517,0.16,0.54
"libblas",1.02328928334248,0.07,0.4875
"libblas.common",1.00648382746655,0.06,0.5
"libblkid",-6.75869748620747,0.94,0
"libbluetooth",0.305658426691139,0.4425,0.145
"libbluray",0.710565474757104,0.19,0.1975
"libboost.date.time",1.06385017360906,0.0625,0.5175
"libboost.filesystem",1.64933592193772,0,0.98
"libboost.iostreams",0.953183281962278,0.0975,0.4125
"libboost.program.options",-0.361256059691742,0.715,0
"libboost.system",1.26456107910054,0.0125,0.78
"libbs",0.676126893244519,0.165,0.145
"libbsd",0.732427368771272,0.31,0.3875
"libburn",1.10307547988046,0.055,0.5825
"libcaca",0.121834048850685,0.525,0.1225
"libcairo",-2.90266870588961,0.975,0.01
"libcairo.gobject",-0.00739685416688358,0.5525,0.085
"libcairomm",1.03232962202924,0.0775,0.49
"libcairo.perl",0.919024587708852,0.0975,0.3725
"libcanberra",0.520607224238753,0.31,0.2
"libcap.bin",0.294209691692327,0.4275,0.0675
"libcap.ng",0.467569851852143,0.35,0.2075
"libc.bin",-2.29749671071418,0.93,0.0025
"libcddb",-0.160819847727459,0.66,0.005
"libcdio",-0.161758581618254,0.625,0.0725
"libcdio.cdda",0.290865056779153,0.4275,0.0925
"libcdio.paranoia",0.256820003393709,0.43,0.0975
"libcdparanoia",0.412538881204337,0.375,0.2
"libcdr",1.45886546581781,0,0.95
"libcilkrts",1.48428677129887,0,0.9175
"libck.connector",0.641005621103064,0.175,0.145
"libcloog.isl",0.975954619937355,0.07,0.4325
"libclucene.contribs",1.32142827886565,0.0075,0.815
"libclucene.core",1.26310564269442,0.01,0.7775
"libcmis",0.938904632813017,0.095,0.385
"libcolamd",1.26043697903532,0.025,0.7675
"libcolord",0.249338087985654,0.465,0.1475
"libcomerr",-5.84057110656613,0.9525,0
"libcompfaceg",0.479831910873886,0.3475,0.1925
"libcroco",0.0687013423487184,0.535,0.1875
"libcryptsetup",0.90296459440478,0.165,0.425
"libcups",-2.78119976912713,0.97,0.0025
"libcupscgi",0.924066081705891,0.125,0.42
"libcupsfilters",0.59642121656705,0.285,0.1875
"libcupsimage",0.103967393417977,0.51,0.1025
"libcupsmime",0.755841074691707,0.1875,0.295
"libcupsppdc",0.910494052840135,0.1,0.3875
"libcurl",1.06965958417265,0.0475,0.5325
"libcurl.gnutls",-0.0838161715359244,0.575,0.1675
"libcurses.perl",0.403658317144682,0.4125,0.28
"libcurses.ui.perl",0.479286943635821,0.3825,0.32
"libdaemon",0.757129548974226,0.1775,0.235
"libdatrie",-3.15861978233436,0.965,0.005
"libdbus",-7.2016065840647,0.95,0
"libdbus.glib",0.623494224914121,0.3525,0.35
"libdc",1.00099539810272,0.0975,0.445
"libdca",0.359041633050385,0.3825,0.0825
"libdconf",-0.350130127002842,0.69,0.0375
"libdebconfclient",0.374796665350442,0.36,0.1025
"libdevmapper",-8.81544618290058,0.955,0
"libdevmapper.event",0.987147309237457,0.095,0.4625
"libdirectfb",0.916128733589884,0.1075,0.375
"libdiscid",0.517748117029652,0.265,0.0725
"libdns",2.07209742207261,0.035,0.8625
"libdns.export",1.33745662007288,0.01,0.825
"libdrm",0.143405144813082,0.5,0.2275
"libdrm.intel",0.0314639757776123,0.5175,0.1325
"libdrm.nouveau",0.46715728415111,0.3075,0.11
"libdrm.radeon",-0.28262957761918,0.6575,0.0675
"libdv",0.379841387429454,0.3925,0.19
"libdvdnav",1.0839159772581,0.0525,0.55
"libdvdread",0.80578104234805,0.19,0.3475
"libe.book",1.83449940224662,0,0.9825
"libedit",1.01399527415779,0.22,0.49
"libegl.mesa",0.880506417510616,0.115,0.3425
"libelf",-0.306569594960044,0.675,0.06
"libenca",0.597156212543047,0.2125,0.1475
"libenchant",0.400367492876063,0.4075,0.2
"libeot",1.84646040191787,0,0.985
"libepoxy",1.13451611443209,0.045,0.6575
"libept",0.944959178981696,0.0625,0.42
"libertas.firmware",-3.08522493965786,0.7525,0.0875
"libesd",1.18789911973564,0.0325,0.66
"libestr",0.571567245434877,0.2575,0.1
"libetonyek",1.8034969854878,0,0.995
"libetpan",0.784524456940743,0.2475,0.4025
"libevdev",1.1430784519274,0.0475,0.6475
"libevent",0.95962075493178,0.085,0.435
"libexif",0.857467822430961,0.2375,0.43
"libexif.gtk",0.571466778356637,0.3375,0.34
"libexo",0.993790618198497,0.08,0.4525
"libexo.common",1.07514439223878,0.0725,0.545
"libexo.helpers",1.05684431399771,0.05,0.53
"libexpect.perl",-0.113646210647272,0.58,0.185
"libexttextcat",0.90228364939613,0.105,0.355
"libexttextcat.data",0.958309445526205,0.115,0.4075
"libfaad",0.66251676743924,0.1975,0.2
"libffi",-5.18463751344408,0.955,0
"libffmpegthumbnailer",0.998403894490367,0.0875,0.475
"libfile.copy.recursive.perl",0.745056117281306,0.2075,0.27
"libflac",1.58024993478519,0.0975,0.685
"libfltk",0.571134291826388,0.2425,0.1825
"libfluidsynth",0.995994111157773,0.0425,0.4325
"libfontconfig",-5.2723928383747,0.775,0.135
"libfontembed",0.932721403906224,0.0875,0.3825
"libfontenc",-0.367612067571565,0.6,0.095
"libfreehand",1.97115019190298,0.0025,0.9825
"libfribidi",0.707290338471059,0.355,0.345
"libfs",0.819466602549174,0.115,0.25
"libfsplib",-0.223076325032688,0.5525,0.215
"libftdi",0.266499370266589,0.475,0.24
"libfuse",-5.53352160260006,0.9375,0
"libgbm",0.388385394178734,0.3525,0.0525
"libgconf",0.981147728574783,0.2375,0.5225
"libgd",0.410240786127762,0.3375,0.0825
"libgda",0.473715266726258,0.3325,0.12
"libgdbm",-6.03722941328092,0.94,0
"libgdk.pixbuf",0.236862321511774,0.4675,0.2025
"libgeoip",1.02362604155941,0.14,0.4775
"libgfortran",0.608840742455477,0.24,0.1375
"libgif",1.00603937031822,0.13,0.5
"libgirepository",0.219223681811645,0.495,0.1025
"libgksu",0.53749277271438,0.2825,0.12
"libglade",1.47435714270642,0.0075,0.91
"libglapi.mesa",0.928752218529643,0.1475,0.445
"libglew",1.05895325931736,0.08,0.525
"libglibmm",1.04741603464209,0.0825,0.515
"libglib.perl",0.936328598467289,0.0725,0.4075
"libgl.mesa.dri",1.10088709461262,0.065,0.545
"libgl.mesa.glx",1.11767713092206,0.1,0.585
"libgltf",0.661871790741289,0.2675,0.2625
"libglu.mesa",-0.263868152191487,0.655,0.04
"libgmlib",0.237603624821742,0.485,0.0725
"libgmp",8.48948535146231,0.0225,0.98
"libgmtk",0.294467236068672,0.38,0.05
"libgmtk.data",0.23939435648419,0.4275,0.045
"libgnome.keyring",0.57948024958435,0.27,0.2125
"libgnome.keyring.common",0.531719736982293,0.2875,0.145
"libgnustep.base",1.32083349571118,0.1225,0.6225
"libgnutls.deb",0.3418266925244,0.39,0.07
"libgnutls.openssl",0.259233869738864,0.44,0.055
"libgomp",0.658137751983257,0.3475,0.3775
"libgpg.error",-8.64407116439336,0.96,0
"libgpgme",0.991817378020973,0.095,0.465
"libgphoto",0.857120468748115,0.2425,0.4325
"libgphoto.port",0.872753765226148,0.2325,0.4425
"libgpm",0.911347533372117,0.2425,0.4675
"libgpod",0.0993592374243034,0.5075,0.01
"libgpod.common",0.283997645397137,0.4075,0.025
"libgraphite",0.493002795711593,0.3175,0.1325
"libgs",0.0810260661477551,0.55,0.0675
"libgs.common",0.368163019102987,0.4,0.0725
"libgslldbl",0.9047331175339,0.095,0.385
"libgsm",0.743108421172898,0.175,0.28
"libgssapi.heimdal",0.418249368070833,0.35,0.0675
"libgssapi.krb",-6.15983187578184,0.9225,0
"libgstreamer",0.658797125476045,0.3175,0.3675
"libgstreamer.plugins.base",-0.688089014081864,0.785,0.0175
"libgtk",2.21143400854024,0.145,0.745
"libgtkglext",1.13770268791342,0.035,0.605
"libgtkmm",1.06873657738663,0.0725,0.535
"libgtk.perl",0.908755763178264,0.075,0.3775
"libgtop",1.26480923903764,0.0425,0.7
"libgtop.common",0.948191760777561,0.115,0.435
"libgudev",0.788688951514999,0.245,0.3925
"libguess",0.206054036539519,0.4625,0.0475
"libgutenprint",1.02180238030679,0.0975,0.4775
"libguvcview",1.26583182915716,0.18,0.5625
"libharfbuzzb",0.231616957467728,0.41,0.035
"libharfbuzz.icu",0.250081629616664,0.4125,0.0175
"libhcrypto.heimdal",0.313500583582518,0.3875,0.0675
"libhd",-0.312560093956201,0.6875,0.015
"libheimbase.heimdal",0.307877532518082,0.395,0.045
"libheimntlm.heimdal",0.328614231510926,0.355,0.03
"libhogweed",1.13463152144256,0.025,0.5975
"libhpmud",1.26032805499538,0.0225,0.7475
"libhunspell",0.723560655402343,0.285,0.365
"libhx",0.331394688182011,0.3575,0.04
"libhyphen",1.02872110717201,0.06,0.5075
"libice",-0.610715903110067,0.6575,0.125
"libicu",-7.82138791063536,0.9425,0
"libidn",-9.64249337701725,0.9525,0
"libidtag",0.712859254615682,0.1775,0.205
"libieee",1.59678169349344,0.0275,0.8325
"libijs",0.0505641021774457,0.5525,0.1025
"libimlib",1.31130755142804,0.0075,0.8025
"libimobiledevice",0.144874385664799,0.4975,0.09
"libio.pty.perl",0.186458866448862,0.425,0.03
"libio.stty.perl",0.0177631913732625,0.5125,0.1775
"libirs.export",0.915663576855718,0.1075,0.3925
"libisc",1.77271209156128,0.025,0.815
"libisccc",1.76229111157534,0.0275,0.855
"libisccfg",1.70648869231507,0.03,0.8125
"libisccfg.export",0.906661811526163,0.1525,0.3925
"libisc.export",1.29259890853495,0.01,0.795
"libisl",0.393293319405312,0.325,0.06
"libiso",1.02152528424732,0.0675,0.49
"libisofs",1.07741504093592,0.025,0.5375
"libitm",0.5269134098375,0.2525,0.1225
"libiw",0.395479267340928,0.38,0.13
"libjack.jackd",0.686104932192891,0.2675,0.29
"libjasper",1.03125176903674,0.145,0.5225
"libjbig",0.109782451043582,0.505,0.055
"libjbigdec",0.381510581785453,0.4,0.185
"libjim",0.226657115233508,0.45,0.0675
"libjpeg",-1.06978191175982,0.8975,0.0025
"libjpeg.turbo",0.619755992939355,0.22,0.18
"libjs.jquery",0.594653665196106,0.215,0.11
"libjson.c",0.428337087736394,0.345,0.065
"libjson.glib",0.128624461172036,0.51,0.07
