Distribution,HPD,Rank,Packages,Scope_width,Scope_special,Scope,Country,Parent,Parent_simple
Nanolinux,46,194,NA,2,0,"Desktop, Live Medium",Germany,Tiny Core,Other
PoliArch,46,195,985,2,1,"Data Rescue, Live Medium",Italy,Arch,Arch
SalentOS,46,196,1478,2,0,"Desktop, Live Medium",Italy,Debian,Debian
Vinux,46,197,1983,1,1,Specialist,United Kingdom,Debian,Debian
Vine,45,198,NA,2,1,"Desktop, Server",Japan,Independent,Other
Oz Unity,44,199,2731,3,1,"Beginners, Desktop, Live Medium",Australia,Debian,Debian
REMnux,44,200,1360,2,2,"Security, Specialist",USA,Debian,Debian
AsteriskNOW,43,201,633,2,2,"Specialist, Telephony",USA,Fedora,Red Hat
SMS,43,202,799,2,1,"Live Medium, Server",Greece,Slackware,Slackware
Turbolinux,43,203,640,2,1,"Desktop, Server",Japan,Independent,Other
BLAG,42,204,1258,3,1,"Desktop, Free Software, Live CD",UK,Fedora,Red Hat
Exe,42,205,965,2,0,"Desktop, Live Medium",UK,Debian,Debian
GoboLinux,42,206,347,3,1,"Desktop, Live Medium, Source-based",Brazil,Independent,Other
IPCop,42,207,196,1,1,Firewall,USA,LFS,Other
LliureX,42,208,2575,2,1,"Education, Live Medium",Spain,Debian,Debian
Madbox,42,209,874,1,0,Desktop,Belgium,Debian,Debian
OSMC,42,210,345,1,1,Raspberry Pi,UK,"Debian, Raspbian",Debian
Rebellin,42,211,1834,2,0,"Desktop, Live Medium",India,Debian,Debian
VyOS,42,212,401,1,1,Firewall,Global,Debian,Debian
Exherbo,41,213,41013,3,2,"Desktop, Server, Source-based",Denmark,Independent,Other
Kwheezy,41,214,2962,3,1,"Beginners, Desktop, Live Medium",United Kingdom,Debian,Debian
kademar,40,215,1483,2,0,"Desktop, Live Medium",Spain,Arch,Arch
RISC,40,216,NA,1,1,Raspberry Pi,UK,Independent,Other
Sophos,40,217,NA,1,1,Firewall,Germany,Independent,Other
Stella,40,218,1243,2,0,"Desktop, Live Medium",Romania,Red Hat,Red Hat
T2,40,219,NA,2,2,"Source-based, Desktop",Germany,ROCK,Other
Zeroshell,40,220,NA,3,2,"Firewall, Live Medium, Server",Italy,Independent,Other
Thinstation,39,221,NA,1,1,Thin Client,New Zealand,CRUX,Other
UPR,39,222,1580,2,1,"Live Medium, Privacy",Germany,Debian,Debian
VortexBox,39,223,450,1,1,Multimedia,USA,Fedora,Red Hat
DoudouLinux,38,224,1168,2,1,"Education, Live CD",France,Debian,Debian
Elastix,38,225,595,2,2,"Specialist, Telephony",Ecuador,Red Hat,Red Hat
OPNsense,38,226,NA,2,1,"Firewall, Live Medium",Netherlands,FreeBSD,BSD
Baltix,36,227,1920,2,0,"Desktop, Live Medium",Lithuania,Debian,Debian
OLPC,36,228,NA,2,1,"Education, Live Medium",USA,Red Hat,Red Hat
paldo,36,229,1269,2,1,"Data Rescue, Live Medium",Switzerland,Independent,Other
Bardinux,35,230,1133,2,0,"Desktop, Live Medium",Spain,Debian,Debian
Caixa Mágica,35,231,2401,1,0,Desktop,Portugal,Debian,Debian
Centrych,35,232,1761,2,0,"Desktop, Live Medium",USA,Debian,Debian
Guadalinex,35,233,1451,3,1,"Desktop, Education, Live Medium",Spain,Debian,Debian
Pidora,35,234,916,1,1,Raspberry Pi,Canada,Fedora,Red Hat
Smoothwall,35,235,NA,1,1,Firewall,UK,Independent,Other
Source Mage,35,236,NA,2,1,"Desktop, Source-based",USA,Independent,Other
Springdale,35,237,4820,2,1,"Desktop, Server",USA,Red Hat,Red Hat
UHU-Linux,35,238,1298,2,0,"Desktop, Live Medium",Hungary,Independent,Other
Greenie,34,239,1735,2,0,"Desktop, Live Medium",Slovakia,Debian,Debian
Linuxfx,34,240,2115,2,0,"Desktop, Live Medium",Brazil,Debian,Debian
MAX,34,241,2838,3,1,"Desktop, Education, Live Medium",Spain,Debian,Debian
Miracle,34,242,NA,1,1,Server,Japan,Red Hat,Red Hat
Securepoint,34,243,NA,1,1,Firewall,Germany,Independent,Other
Bicom,33,244,NA,2,2,"Specialist, Telephony",France,Gentoo,Gentoo
Canaima,33,245,1137,2,0,"Desktop, Live DVD",Venezuela,Debian,Debian
Fermi,33,246,4113,2,1,"Desktop, Server",USA,Red Hat,Red Hat
Hanthana,33,247,2454,2,0,"Desktop, Live Medium",Sri Lanka,Red Hat,Red Hat
LinHES,33,248,610,2,1,"Live Medium, MythTV",USA,Arch,Arch
OpenLX,33,249,2517,2,0,"Desktop, Live Medium",India,Debian,Debian
Grml,32,250,997,1,0,Live Medium,Austria,Debian,Debian
Karoshi,32,251,1228,2,1,"Education, Live Medium",United Kingdom,Debian,Debian
Openwall,32,252,222,2,2,"Server, Security",Global,Red Hat,Red Hat
PLD,32,253,NA,2,1,"Desktop, Server",Poland,Independent,Other
SELKS,32,254,882,2,1,"Live Medium, Security",France,Debian,Debian
Ulteo,32,255,936,1,1,Server,France,Debian,Debian
Volumio,32,256,642,1,1,Raspberry Pi,Italy,Debian,Debian
NexentaStor,31,257,NA,2,2,"Specialist, UNIX",USA,Solaris,Solaris
Chitwanix,30,258,2201,2,0,"Desktop, Live Medium",Nepal,Debian,Debian
eZeY,30,259,1397,3,1,"Desktop, Education, Live Medium",Portugal,Red Hat,Red Hat
LinEx,30,260,1565,2,1,"Education, Desktop",Spain,Debian,Debian
Overclockix,30,261,1238,1,0,Live Medium,USA,Debian,Debian
PelicanHPC,30,262,2214,2,1,"Clusters, Live Medium",Algeria,Debian,Debian
Sonar,30,263,930,3,1,"Desktop, Live Medium, Assistive",USA,Manjaro,Arch
GuixSD,28,264,3251,2,1,"Education, Live Medium",USA,Independent,Other
SuliX,28,265,1911,1,1,Education,Hungary,Fedora,Red Hat
Omoikane,27,266,NA,1,0,Desktop,Japan,Debian,Debian
Metamorphose,26,267,2767,1,0,Desktop,Brazil,Debian,Debian
PrimTux,22,268,1776,2,1,"Desktop, Education",France,Debian,Debian
AgiliaLinux,21,269,790,2,1,"Desktop, Server",Russia,Independent,Other
AbulÉdu,15,270,2797,4,3,"Education, Live Medium, Server, Thin Client",NA,NA,NA
Whonix,15,271,1239,3,2,"Desktop, Privacy, Security",Germany,Debian,Debian
BSDRP,9,272,50,2,2,"Firewall, Router",France,FreeBSD,BSD
Arya,6,273,459,3,2,"Desktop, Server, Source-based",India,LFS,Other
Lakka,6,274,NA,3,3,"Gaming, Multimedia, Raspberry Pi",France,OpenELEC,Other
B2D,3,275,3126,2,0,"Desktop, Live Medium",Taiwan,Debian,Debian
