package.name,ntaxa,mpd.obs,mpd.rand.mean,mpd.rand.sd,mpd.obs.rank,mpd.obs.z,mpd.obs.p,runs,host.specialist
nordugrid-arc-plugins-globus,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-plugins-globus virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-plugins-needed,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-python,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-python virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-server virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nordugrid-arc-ws-monitor,1,NA,NA,NA,NA,NA,NA,999,NA
norsnet,1,NA,NA,NA,NA,NA,NA,999,NA
norsp,1,NA,NA,NA,NA,NA,NA,999,NA
noshell,1,NA,NA,NA,NA,NA,NA,999,NA
noshell virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nosquint virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nostalgy virtual,1,NA,NA,NA,NA,NA,NA,999,NA
note,1,NA,NA,NA,NA,NA,NA,999,NA
notebook-gtk,1,NA,NA,NA,NA,NA,NA,999,NA
notes-mobile,1,NA,NA,NA,NA,NA,NA,999,NA
notification-daemon virtual,1,NA,NA,NA,NA,NA,NA,999,NA
notion,1,NA,NA,NA,NA,NA,NA,999,NA
notion-api,1,NA,NA,NA,NA,NA,NA,999,NA
notion-dev,1,NA,NA,NA,NA,NA,NA,999,NA
notmuch,1,NA,NA,NA,NA,NA,NA,999,NA
notmuch-dbg,1,NA,NA,NA,NA,NA,NA,999,NA
notmuch-emacs,1,NA,NA,NA,NA,NA,NA,999,NA
notmuch-mutt,1,NA,NA,NA,NA,NA,NA,999,NA
notmuch-vim,1,NA,NA,NA,NA,NA,NA,999,NA
notmuch-web,1,NA,NA,NA,NA,NA,NA,999,NA
nova-ajax-console-proxy virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nova-api,1,NA,NA,NA,NA,NA,NA,999,NA
nova-baremetal,1,NA,NA,NA,NA,NA,NA,999,NA
nova-cells,1,NA,NA,NA,NA,NA,NA,999,NA
nova-cert,1,NA,NA,NA,NA,NA,NA,999,NA
nova-common,1,NA,NA,NA,NA,NA,NA,999,NA
nova-compute,1,NA,NA,NA,NA,NA,NA,999,NA
nova-compute-hypervisor virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nova-compute-kvm,1,NA,NA,NA,NA,NA,NA,999,NA
nova-compute-lxc,1,NA,NA,NA,NA,NA,NA,999,NA
nova-compute-qemu,1,NA,NA,NA,NA,NA,NA,999,NA
nova-compute-uml,1,NA,NA,NA,NA,NA,NA,999,NA
nova-conductor,1,NA,NA,NA,NA,NA,NA,999,NA
nova-console,1,NA,NA,NA,NA,NA,NA,999,NA
nova-consoleauth,1,NA,NA,NA,NA,NA,NA,999,NA
nova-consoleauth virtual,1,NA,NA,NA,NA,NA,NA,999,NA
nova-consoleproxy,1,NA,NA,NA,NA,NA,NA,999,NA
nova-doc,1,NA,NA,NA,NA,NA,NA,999,NA
nova-network,1,NA,NA,NA,NA,NA,NA,999,NA
